"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"05.04.2022","4,6506","4,5950","4,6742","4,5805","88,39K","1,26%"
"04.04.2022","4,5928","4,6595","4,6751","4,5885","61,19K","-1,39%"
"01.04.2022","4,6575","4,7408","4,7408","4,6525","82,68K","-1,72%"
"31.03.2022","4,7390","4,7709","4,7965","4,7215","80,74K","-0,62%"
"30.03.2022","4,7685","4,7580","4,7924","4,7252","75,89K","0,26%"
"29.03.2022","4,7561","4,7680","4,7850","4,7148","99,42K","-0,24%"
"28.03.2022","4,7675","4,7526","4,8196","4,7326","86,53K","0,54%"
"25.03.2022","4,7420","4,8273","4,8298","4,7297","84,54K","-1,73%"
"24.03.2022","4,8253","4,8263","4,8591","4,7649","103,23K","-0,01%"
"23.03.2022","4,8258","4,9108","4,9214","4,8215","76,65K","-1,70%"
"22.03.2022","4,9094","4,9366","4,9514","4,9048","78,97K","-0,53%"
"21.03.2022","4,9354","5,0245","5,0299","4,9309","85,62K","-1,75%"
"18.03.2022","5,0231","5,0406","5,0760","4,9924","80,61K","-0,32%"
"17.03.2022","5,0390","5,0778","5,1080","5,0279","81,57K","-0,72%"
"16.03.2022","5,0757","5,1599","5,1599","5,0718","106,55K","-1,69%"
"15.03.2022","5,1631","5,1224","5,1700","5,0922","73,29K","0,86%"
"14.03.2022","5,1193","5,0591","5,1402","5,0373","86,61K","0,88%"
"11.03.2022","5,0745","5,0132","5,0820","4,9820","77,23K","1,27%"
"10.03.2022","5,0110","5,0150","5,0765","5,0101","82,63K","-0,03%"
"09.03.2022","5,0123","5,0286","5,0363","4,9850","88,21K","-0,94%"
"08.03.2022","5,0599","5,0813","5,1011","5,0446","117,62K","-1,01%"
"07.03.2022","5,1115","5,0785","5,1152","5,0280","99,80K","0,98%"
"04.03.2022","5,0620","5,0517","5,1017","5,0227","102,09K","0,60%"
"03.03.2022","5,0320","5,0978","5,1155","5,0188","97,21K","-1,32%"
"02.03.2022","5,0995","5,2144","5,2233","5,0866","43,07K","-1,16%"
"01.03.2022","5,1595","5,1605","5,1605","5,1605","","-0,01%"
"28.02.2022","5,1599","5,1638","5,1654","5,1600","0,02K","-0,05%"
"25.02.2022","5,1623","5,1199","5,1810","5,0785","94,23K","0,77%"
"24.02.2022","5,1231","5,0050","5,1640","5,0050","109,51K","2,26%"
"23.02.2022","5,0097","5,0621","5,0621","4,9939","76,78K","-0,96%"
"22.02.2022","5,0583","5,1080","5,1080","5,0437","89,78K","-0,89%"
"21.02.2022","5,1036","5,1374","5,1552","5,0746","69,14K","-0,68%"
"18.02.2022","5,1385","5,1718","5,1766","5,1088","82,29K","-0,64%"
"17.02.2022","5,1718","5,1360","5,1840","5,1238","74,30K","0,69%"
"16.02.2022","5,1365","5,1600","5,1782","5,1225","81,54K","-0,44%"
"15.02.2022","5,1590","5,2188","5,2212","5,1585","80,07K","-1,07%"
"14.02.2022","5,2149","5,2560","5,2670","5,1954","98,44K","-0,72%"
"11.02.2022","5,2527","5,2365","5,2659","5,1805","113,44K","0,06%"
"10.02.2022","5,2496","5,2389","5,2557","5,1727","111,97K","0,27%"
"09.02.2022","5,2354","5,2600","5,2910","5,2126","74,37K","-0,45%"
"08.02.2022","5,2593","5,2634","5,2900","5,2508","67,62K","-0,08%"
"07.02.2022","5,2636","5,3260","5,3283","5,2491","72,48K","-1,21%"
"04.02.2022","5,3279","5,3027","5,3509","5,2778","86,45K","0,83%"
"03.02.2022","5,2839","5,2765","5,3232","5,2717","87,80K","0,42%"
"02.02.2022","5,2620","5,2687","5,3151","5,2540","62,25K","-0,07%"
"01.02.2022","5,2655","5,2983","5,3182","5,2639","75,45K","-0,73%"
"31.01.2022","5,3041","5,3698","5,3981","5,2838","85,28K","-1,18%"
"28.01.2022","5,3674","5,4099","5,4331","5,3664","89,11K","-0,72%"
"27.01.2022","5,4065","5,4336","5,4355","5,3532","108,44K","-0,48%"
"26.01.2022","5,4324","5,4456","5,4676","5,3918","95,55K","-0,21%"
"25.01.2022","5,4437","5,4880","5,5220","5,4278","92,16K","-0,80%"
"24.01.2022","5,4877","5,4528","5,5251","5,4528","112,20K","0,54%"
"21.01.2022","5,4582","5,4220","5,4752","5,4035","104,55K","0,72%"
"20.01.2022","5,4191","5,4428","5,4620","5,3790","87,17K","-0,35%"
"19.01.2022","5,4383","5,5484","5,5527","5,4372","86,80K","-2,30%"
"18.01.2022","5,5666","5,5217","5,5832","5,5043","77,79K","0,91%"
"17.01.2022","5,5165","5,5352","5,5390","5,4940","45,33K","-0,32%"
"14.01.2022","5,5344","5,5287","5,5537","5,5080","77,47K","0,10%"
"13.01.2022","5,5286","5,5350","5,5560","5,5005","73,25K","-0,09%"
"12.01.2022","5,5338","5,5660","5,6012","5,5195","80,10K","-0,62%"
"11.01.2022","5,5686","5,6657","5,6761","5,5635","77,83K","-1,67%"
"10.01.2022","5,6633","5,6340","5,6930","5,6286","60,86K","0,49%"
"07.01.2022","5,6355","5,6869","5,7106","5,6191","70,87K","-0,84%"
"06.01.2022","5,6834","5,6878","5,7255","5,6694","80,38K","-0,44%"
"05.01.2022","5,7087","5,6774","5,7242","5,6418","84,55K","0,56%"
"04.01.2022","5,6770","5,6666","5,7112","5,6371","82,13K","-0,08%"
"03.01.2022","5,6818","5,5668","5,6827","5,5564","68,61K","2,00%"
"31.12.2021","5,5703","5,5715","5,5717","5,5711","","-0,01%"
"30.12.2021","5,5710","5,6957","5,7039","5,5469","79,86K","-2,32%"
"29.12.2021","5,7032","5,6356","5,7105","5,6235","53,92K","1,33%"
"28.12.2021","5,6283","5,6262","5,6627","5,6195","58,79K","0,06%"
